source,target,type
mildred_gaitan,prensacomunitar,mention
chatamendez,alexvaldezsmith,mention
chatamendez,traficogt,mention
chatamendez,barevalodeleon,mention
d3sarrollo,traficogt,mention
d3sarrollo,barevalodeleon,mention
rodenasmarina,traficogt,mention
rodenasmarina,barevalodeleon,mention
luispedroortizb,traficogt,mention
luispedroortizb,barevalodeleon,mention
garcia196711,asteguietaluis,mention
garcia196711,traficogt,mention
garcia196711,barevalodeleon,mention
martifus,traficogt,mention
martifus,barevalodeleon,mention
alexvaldezsmith,traficogt,mention
alexvaldezsmith,barevalodeleon,mention
usuariounicoop,traficogt,mention
usuariounicoop,barevalodeleon,mention
aldanav52139161,traficogt,mention
aldanav52139161,barevalodeleon,mention
pecosa160110,traficogt,mention
pecosa160110,barevalodeleon,mention
pirir9pirir,craxkerr2,mention
pirir9pirir,traficogt,mention
pirir9pirir,barevalodeleon,mention
arronchopa,barevalodeleon,mention
arronchopa,aliaslajose,mention
newlibertario1,traficogt,mention
newlibertario1,barevalodeleon,mention
porquesi849468,traficogt,mention
porquesi849468,barevalodeleon,mention
yoguatex,traficogt,mention
yoguatex,barevalodeleon,mention
miles_mayhem_,ciudadanotopgt,mention
miles_mayhem_,traficogt,mention
miles_mayhem_,barevalodeleon,mention
elcrissalex,traficogt,mention
elcrissalex,barevalodeleon,mention
chevalblanc64,traficogt,mention
chevalblanc64,barevalodeleon,mention
oscar___flores,traficogt,mention
oscar___flores,barevalodeleon,mention
lamidupeuplee,brucewayne_maga,mention
lamidupeuplee,traficogt,mention
lamidupeuplee,barevalodeleon,mention
vquique,ep_investiga,mention
vquique,traficogt,mention
castillo_tonito,traficogt,mention
castillo_tonito,barevalodeleon,mention
juliusmazzapan,traficogt,mention
juliusmazzapan,barevalodeleon,mention
quefux_,paolaca77274285,mention
quefux_,traficogt,mention
quefux_,barevalodeleon,mention
fresa2222,traficogt,mention
fresa2222,barevalodeleon,mention
cabarri811,traficogt,mention
cabarri811,barevalodeleon,mention
jorge_albertora,traficogt,mention
jorge_albertora,barevalodeleon,mention
eddyarredondo23,barevalodeleon,mention
multifa0suarez,traficogt,mention
multifa0suarez,barevalodeleon,mention
ciudadanotopgt,traficogt,mention
ciudadanotopgt,barevalodeleon,mention
gabriovas,traficogt,mention
gabriovas,barevalodeleon,mention
soibnan,traficogt,mention
soibnan,barevalodeleon,mention
josuepablo,traficogt,mention
josuepablo,barevalodeleon,mention
hermelindomele3,traficogt,mention
hermelindomele3,barevalodeleon,mention
91072dff5a5a4f1,traficogt,mention
91072dff5a5a4f1,barevalodeleon,mention
catdog1923,traficogt,mention
catdog1923,barevalodeleon,mention
claraluzfranco1,traficogt,mention
claraluzfranco1,barevalodeleon,mention
elminilicgt,traficogt,mention
elminilicgt,barevalodeleon,mention
chappin777,traficogt,mention
chappin777,barevalodeleon,mention
bruizf,medina1979,mention
bruizf,traficogt,mention
bruizf,barevalodeleon,mention
soylacanallare1,traficogt,mention
soylacanallare1,barevalodeleon,mention
waldoo8,traficogt,mention
waldoo8,barevalodeleon,mention
transmision14,traficogt,mention
transmision14,barevalodeleon,mention
trchief7,traficogt,mention
